Merchant_id,Negative,Normal,Positive
12110,0,1247,0
12111,0,732,0
12112,0,179,0
12113,13,254,2
12114,21,866,8
12115,0,143,0
12200,0,280,0
12201,4,354,4
12202,0,1078,0
12203,0,489,0
12204,0,342,0
12205,0,1442,0
12206,178,288,36
12207,0,461,0
12208,0,274,17
12209,3,119,1
12210,0,450,0
12211,0,254,0
12212,24,4651,20
12213,100,665,20
12214,0,1440,0
12215,9,843,1
12300,0,372,0
12301,0,1258,0
12302,0,736,0
12303,0,313,0
12304,0,204,0
12305,19,377,14
12306,0,564,0
12307,11,708,12
12308,0,176,0
12309,0,935,0
12310,314,1135,25
12311,1,419,0
12312,157,1069,25
12313,0,237,0
12314,0,348,0
12315,0,204,0
12400,0,2791,0
12401,0,173,0
12402,0,232,1
12403,4,1090,7
12404,0,382,0
12405,0,781,0
12406,0,588,0
12407,0,136,0
12408,0,236,0
12409,0,659,0
12410,2,210,0
12411,97,3024,143
12412,0,638,0
12413,5,846,0
12414,4,247,6
12415,19,238,7
12500,2,900,50
12501,215,568,54
12502,0,141,0
12503,1874,11821,1632
12504,1,312,1
12505,0,360,0
12506,0,440,0
12507,0,519,0
12508,2,189,2
12509,0,223,0
12510,152,8660,65
12511,0,905,0
12512,0,552,107
12513,0,357,0
12514,58,2478,3
12515,0,892,0
12600,9,1418,0
12601,24,402,3
12602,0,638,0
12603,0,141,0
12604,16,520,3
12605,36,978,12
12606,0,296,0
12607,53,337,10
12608,0,460,0
12609,0,179,0
12610,0,325,0
12611,0,969,0
12612,1,125,0
12613,0,480,0
12614,0,188,0
12615,0,262,0
12700,0,710,0
12701,0,540,0
12702,0,209,0
12703,0,2228,0
12704,0,1264,0
12705,0,182,0
12706,100,744,1
12707,0,363,0
12708,0,156,0
12709,12,2995,10
12710,0,262,0
12711,41,806,23
12712,0,122,0
12713,0,214,0
12714,0,307,0
12715,89,419,9
12800,0,864,0
12801,35,1768,11
12802,0,2367,0
12803,41,270,18
12804,0,462,0
12805,0,158,0
12806,0,396,0
12807,0,334,0
12808,0,297,0
12809,0,374,0
12810,0,101,0
12811,63,3177,35
12812,2,3795,4
12813,211,816,26
12814,0,228,0
12815,0,1434,0
12900,2,982,0
12901,0,250,0
12902,0,209,0
12903,0,582,0
12904,0,348,0
12905,0,551,0
12906,0,962,0
12907,0,560,0
12908,92,563,37
12909,0,248,0
12910,0,732,0
12911,0,172,0
12912,3,1275,0
12913,0,602,0
12914,0,1091,0
12915,0,4737,1
13000,0,204,0
13001,0,163,0
13002,0,168,0
13003,10,7308,43
13004,2,484,2
13005,54,1308,11
13006,70,1439,35
13007,0,571,0
13008,10,795,8
13009,0,465,0
13010,0,251,0
13011,0,234,0
13012,0,422,0
13013,1,325,0
13014,4,936,0
13015,0,229,0
13100,0,551,0
13101,0,1529,0
13102,0,222,0
13103,0,343,0
13104,0,897,0
13105,344,3686,351
13106,0,910,0
13107,8,263,7
13108,0,1301,0
13109,0,194,0
13110,0,198,0
13111,0,184,0
13112,0,751,0
13113,0,1022,0
13114,0,1630,0
13115,0,390,0
13200,1188,18159,984
13201,0,1207,0
13202,0,297,0
13203,0,1597,0
13204,19,330,0
13205,9,373,2
13206,5,561,3
13207,7,426,3
13208,419,853,8
13209,12,335,6
13210,0,1726,0
13211,0,571,0
13212,0,177,0
13213,0,1363,0
13214,0,794,0
13215,322,2626,415
13300,0,405,0
13301,25,840,9
13302,4,230,1
13303,16,416,7
13304,0,296,0
13305,5,260,1
13306,0,380,0
13307,13,714,4
13308,132,1256,2
13309,57,952,27
13310,0,137,2
13311,167,1281,47
13312,0,1652,0
13313,0,218,0
13314,0,217,0
13315,0,249,0
13400,60,810,12
13401,177,5276,188
13402,0,215,0
13403,1,492,0
13404,0,414,0
13405,0,451,0
13406,24,1179,9
13407,0,434,0
13408,0,342,0
13409,101,255,1
13410,194,619,0
13411,0,440,0
13412,450,3640,63
13413,0,795,0
13414,0,1759,0
13415,0,490,0
13500,0,236,0
13501,6,954,3
13502,0,622,0
13503,7,1141,1
13504,0,196,0
13505,0,157,0
13506,0,88,0
13507,305,1298,20
13508,0,352,0
13509,0,116,0
13510,9,172,2
13511,278,10627,103
13512,0,223,0
13513,0,448,0
13514,12,320,5
13515,1,598,0
13600,175,2470,33
13601,0,291,0
13602,0,261,0
13603,26,1994,2
13604,8,534,1
13605,0,158,0
13606,0,257,0
13607,1077,5742,247
13608,0,166,0
13609,0,1594,0
13610,0,126,0
13611,47,1424,7
13612,0,244,0
13613,1,285,0
13614,0,517,0
13615,28,2395,6
13700,0,1332,0
13701,0,543,0
13702,0,669,0
13703,0,449,0
13704,5,809,0
13705,0,268,0
13706,176,2830,25
13707,0,413,0
13708,0,2586,0
13709,0,257,0
13710,0,534,0
13711,0,264,0
13712,0,321,0
13713,0,2589,0
13714,14,350,1
13715,0,645,0
13800,60,3464,14
13801,25,2090,8
13802,4200,10908,1823
13803,0,418,0
13804,0,302,0
13805,0,571,0
13806,0,463,0
13807,0,743,0
13808,0,1217,0
13809,0,308,0
13810,0,663,0
13811,3,285,8
13812,1,1074,1
13813,0,844,0
13814,0,1069,0
13815,316,630,5
13900,23,2797,4
13901,132,1133,12
13902,0,866,12
13903,0,217,0
13904,12,141,4
13905,2,214,1
13906,0,250,0
13907,0,248,4
13908,0,252,0
13909,0,503,0
13910,0,652,0
13911,0,509,0
13912,1006,7329,96
13913,0,987,0
13914,156,2910,77
13915,0,263,0
14000,0,868,1
14001,14,2053,2
14002,0,179,0
14003,0,1907,0
14004,0,5042,0
14005,1,595,0
14006,0,279,0
14007,0,327,0
14008,1,323,0
14009,2,189,0
14010,10,375,7
14011,0,3207,0
14012,0,141,0
14013,0,583,0
14014,0,167,0
14015,3220,652,18
14100,0,784,0
14101,0,513,0
14102,0,547,0
14103,0,253,0
14104,0,255,0
14105,0,1286,0
14106,250,1057,10
14107,0,524,0
14108,0,325,0
14109,0,213,0
14110,0,1656,0
14111,0,399,0
14112,0,2172,0
14113,0,342,0
14114,0,619,0
14115,0,191,0
14200,0,238,0
14201,0,1808,0
14202,4,720,4
14203,0,606,0
14204,0,314,0
14205,0,689,0
14206,1,252,0
14207,163,2397,32
14208,218,5123,52
14209,0,429,0
14210,0,180,0
14211,0,410,0
14212,0,617,0
14213,81,320,17
14214,0,363,0
14215,0,374,0
14300,0,477,0
14301,27,516,2
14302,0,617,0
14303,52,1069,10
14304,0,231,0
14305,25703,315322,9221
14306,124,468,1
14307,0,263,0
14308,0,153,0
14309,0,121,0
14310,15,636,2
14311,29,1865,7
14312,0,1637,7
14313,4,264,14
14314,0,355,0
14315,181,4990,4
14400,0,208,0
14401,0,252,0
14402,0,1065,0
14403,0,1021,0
14404,0,185,0
14405,0,213,0
14406,0,1331,0
14407,0,149,0
14408,0,126,0
14409,0,147,0
14410,0,327,0
14411,470,1477,64
14412,0,1178,0
14413,37,1197,11
14414,0,284,0
14415,0,234,0
14500,7,6669,3
14501,0,3534,0
14502,103,590,14
14503,0,248,0
14504,0,365,0
14505,0,480,0
14506,2,2311,7
14507,0,202,0
14508,0,10957,0
14509,0,877,0
14510,0,1036,0
14511,0,206,0
14512,0,235,0
14513,0,1115,0
14514,0,180,0
14515,0,377,0
14600,35,240,7
14601,0,106,4
14602,1,825,0
14603,0,299,0
14604,5,188,1
14605,0,387,0
14606,0,813,0
14607,0,419,0
14608,0,171,0
14609,0,126,0
14610,4,280,2
14611,3043,915,17
14612,0,922,0
14613,24,577,7
14614,0,1962,1
14615,4,455,2
14700,0,2629,0
14701,71,1389,32
14702,0,141,0
14703,39,3889,2
14704,0,331,0
14705,0,640,0
14706,4,375,0
14707,0,195,1
14708,0,333,0
14709,341,4053,35
14710,0,204,0
14711,18,206,0
14712,22,238,5
14713,0,287,0
14714,0,159,0
14715,0,336,0
14800,0,947,0
14801,0,563,0
14802,0,253,0
14803,0,396,0
14804,0,180,0
14805,32,520,23
14806,0,332,0
14807,0,223,0
14808,0,507,0
14809,130,995,27
14810,42,1288,0
14811,0,217,0
14812,145,3332,21
14813,0,281,0
14814,5,1225,1
14815,0,2399,0
14900,0,420,7
14901,60,531,27
14902,0,203,0
14903,10,657,0
14904,50,2175,4
14905,2,383,0
14906,0,702,0
14907,0,1380,0
14908,0,1154,0
14909,0,232,0
14910,1862,3188,189
14911,0,179,0
14912,0,320,0
14913,124,352,8
14914,0,251,0
14915,0,589,0
15000,0,159,0
15001,0,286,0
15002,76,460,9
15003,0,456,0
15004,0,351,0
15005,0,351,0
15006,0,2408,0
15007,0,522,0
15008,0,327,0
15009,0,622,0
15010,0,138,0
15011,0,241,1
15012,0,586,0
15013,0,475,0
15014,437,1310,61
15015,0,35268,0
15100,4,1989,0
15101,0,3062,0
15102,0,193,0
15103,0,285,0
15104,0,1665,0
15105,10,833,3
15106,0,572,0
15107,0,400,0
15108,33,666,20
15109,0,518,0
15110,7,1737,2
15111,0,1575,0
15112,341,2274,104
15113,50,517,3
15114,310,5463,41
15115,1326,3006,70
15200,511,1517,64
15201,0,554,0
15202,0,443,0
15203,0,162,0
15204,21,1609,1
15205,0,464,2
15206,0,584,0
15207,22,455,52
15208,0,540,0
15209,0,319,0
15210,0,285,0
15211,1,386,0
15212,0,189,0
15213,0,204,0
15214,0,193,0
15215,0,662,0
15300,0,371,0
15301,0,237,0
15302,38,1399,7
15303,0,326,0
15304,0,906,0
15305,16,1593,0
15306,0,253,0
15307,2,335,0
15308,0,1973,0
15309,55,4464,10
15310,0,91,0
15311,5,417,2
15312,10,577,2
15313,0,513,0
15314,0,559,0
15315,0,145,0
15400,2,352,0
15401,1,177,0
15402,0,306,0
15403,0,254,0
15404,0,138,0
15405,0,924,0
15406,0,190,0
15407,0,576,0
15408,2,1046,19
15409,0,398,0
15410,3,395,2
15411,0,192,0
15412,8,1417,2
15413,0,191,0
15414,0,191,0
15415,0,289,0
15500,0,1151,0
15501,4,463,0
15502,0,473,0
15503,58,2203,0
15504,5,1217,0
15505,0,376,0
15506,0,280,0
15507,0,765,0
15508,0,343,0
15509,0,683,0
15510,0,1222,0
15511,8,1248,0
15512,0,2393,0
15513,0,657,0
15514,0,218,0
15515,0,232,0
15600,349,8482,548
15601,23,1008,11
15602,0,257,0
15603,0,1285,0
15604,438,1513,76
15605,0,353,0
15606,0,135,0
15607,0,896,0
15608,0,411,0
15609,0,391,0
15610,9,401,37
15611,0,357,0
15612,0,414,0
15613,0,580,0
15614,0,189,0
15615,5,546,0
15700,2,1017,0
15701,297,4148,175
15702,0,385,0
15703,0,194,0
15704,5,239,2
15705,690,1246,59
15706,0,371,1
15707,134,3141,20
15708,1,547,3
15709,0,190,0
15710,0,700,0
15711,0,184,0
15712,0,300,0
15713,0,135,0
15714,0,1563,0
15715,0,159,0
15800,0,1260,0
15801,60,636,1
15802,0,727,0
15803,0,170,0
15804,0,204,0
15805,12,486,0
15806,0,230,0
15807,0,288,0
15808,0,440,0
15809,6,428,3
15810,0,618,0
15811,7,475,6
15812,27,781,9
15813,8464,98360,1036
15814,4,2729,10
15815,0,420,0
15900,0,2363,0
15901,0,628,0
15902,121,3192,25
15903,0,2235,0
15904,0,1061,0
15905,0,321,0
15906,0,1037,0
15907,0,308,0
15908,0,210,0
15909,3,397,1
15910,146,2264,36
15911,0,189,0
15912,0,292,0
15913,30,286,12
15914,0,457,0
15915,0,273,0
16000,0,1170,0
16001,7,818,14
16002,0,620,0
16003,5,180,8
16004,0,393,0
16005,5,387,8
16006,0,1239,0
16007,0,1320,9
16008,0,766,0
16009,61,2340,6
16010,0,742,0
16011,160,8445,93
16012,0,187,0
16013,0,301,0
16014,0,173,0
16015,10,475,0
16100,4,191,1
16101,0,222,0
16102,5,218,0
16103,45,1057,7
16104,0,266,0
16105,26,503,8
16106,0,578,0
16107,0,286,0
16108,0,174,0
16109,543,17624,43
16110,0,508,0
16111,0,1015,0
16112,0,963,2
16113,1193,5847,1229
16114,0,550,0
16115,392,2452,96
16200,0,257,0
16201,0,191,0
16202,0,197,0
16203,0,103,0
16204,51,1552,14
16205,20,423,0
16206,0,377,0
16207,44,183,35
16208,0,481,0
16209,23,699,8
16210,0,1071,0
16211,0,220,2
16212,10,281,3
16213,12,642,6
16214,0,1062,0
16215,0,324,0
16300,0,3215,0
16301,28,788,3
16302,0,500,0
16303,0,375,0
16304,0,1403,0
16305,0,298,0
16306,1,156,3
16307,700,5503,254
16308,20,427,7
16309,0,197,0
16310,2,507,2
16311,0,123,0
16312,21,2025,29
16313,4,343,2
16314,676,1329,15
16315,0,444,0
16400,533,1519,90
16401,4,310,15
16402,0,463,0
16403,14,474,7
16404,243,10233,321
16405,0,304,0
16406,0,225,0
16407,0,256,0
16408,0,904,0
16409,0,267,0
16410,1,282,1
16411,0,204,0
16412,0,213,0
16413,0,507,0
16414,0,2155,0
16415,1065,4383,142
16500,0,292,0
16501,24,1194,6
16502,240,2807,51
16503,0,2083,0
16504,6,176,2
16505,1,907,2
16506,118,277,4
16507,0,264,0
16508,0,271,0
16509,39,791,5
16510,0,529,0
16511,763,1782,32
16512,22,2430,10
16513,0,455,0
16514,0,746,7
16515,4,244,3
16600,0,808,0
16601,0,529,0
16602,0,659,0
16603,0,487,0
16604,0,340,0
16605,0,713,4
16606,0,158,0
16607,4,539,1
16608,0,246,0
16609,0,961,0
16610,17,165,2
16611,0,150,0
16612,0,869,0
16613,0,1209,0
16614,98,1541,7
16615,0,335,0
16700,0,388,0
16701,1341,1341,76
16702,0,240,1
16703,0,141,0
16704,4,1228,18
16705,0,1766,1
16706,64,2426,25
16707,0,191,0
16708,0,218,0
16709,1417,2557,288
16710,0,487,0
16711,5,818,1
16712,6,792,20
16713,1,257,0
16714,0,445,8
16715,0,159,0
16800,0,203,0
16801,0,377,0
16802,0,439,0
16803,50,2156,13
16804,0,125,0
16805,15,202,1
16806,13,264,1
16807,0,619,0
16808,0,433,0
16809,30,2135,0
16810,0,187,0
16811,0,731,0
16812,0,131,0
16813,34,2351,34
16814,0,569,0
16815,0,239,0
16900,0,170,0
16901,274,14226,300
16902,0,1034,0
16903,0,1355,0
16904,0,767,0
16905,0,202,0
16906,0,576,0
16907,0,275,0
16908,0,1189,0
16909,1,298,1
16910,0,317,0
16911,0,2102,0
16912,0,345,0
16913,0,224,0
16914,3,831,0
16915,0,256,0
17000,0,755,0
17001,0,272,0
17002,0,352,0
17003,30,1173,7
17004,0,230,0
17005,0,178,0
17006,8,138,2
17007,8,194,0
17008,6,223,0
17009,0,182,0
17010,38,1654,23
17011,0,323,0
17012,1,215,0
17013,260,11140,108
17014,2,3682,0
17015,0,318,0
17100,52,3001,54
17101,116,1910,33
17102,13,518,5
17103,0,1036,1
17104,96,1694,373
17105,0,1021,0
17106,4,1359,1
17107,0,183,0
17108,4,240,1
17109,0,321,0
17110,7,1572,1
17111,97,537,0
17112,0,335,0
17113,13,2998,5
17114,88,222,4
17115,0,982,0
17200,0,577,1
17201,0,280,0
17202,1,380,0
17203,0,328,0
17204,0,177,1
17205,59,374,6
17206,400,877,21
17207,1,668,0
17208,5,551,1
17209,0,137,0
17210,0,2969,0
17211,0,547,0
17212,0,211,2
17213,155,542,16
17214,0,264,0
17215,4,1013,3
17300,0,467,0
17301,0,333,0
17302,6,660,2
17303,358,10417,7
17304,0,609,0
17305,0,329,0
17306,0,2683,2
17307,0,289,0
17308,0,307,0
17309,0,1659,0
17310,0,153,0
17311,0,236,0
17312,117,2270,19
17313,571,8911,499
17314,0,747,0
17315,0,988,0
17400,4,155,1
17401,0,147,0
17402,0,401,0
17403,0,657,0
17404,50,574,16
17405,58,10125,53
17406,0,249,0
17407,60,772,26
17408,0,245,0
17409,0,494,0
17410,0,248,0
17411,412,1424,15
17412,3,451,2
17413,89,1555,23
17414,0,320,0
17415,0,405,0
17500,1,609,4
17501,0,287,0
17502,0,287,0
17503,223,3573,43
17504,0,823,0
17505,0,765,0
17506,39,930,24
17507,226,405,8
17508,71,1498,8
17509,0,240,0
17510,82,379,33
17511,2,393,0
17512,6,247,1
17513,31,5000,85
17514,8,1833,1
17515,0,396,0
17600,0,224,0
17601,0,1216,0
17602,331,5695,493
17603,0,355,0
17604,0,708,1
17605,0,1160,1
17606,0,950,25
17607,3,280,1
17608,0,428,0
17609,0,273,0
17610,0,125,0
17611,0,348,0
17612,0,431,0
17613,0,454,0
17614,0,790,0
17615,425,5390,99
17700,101,10063,28
17701,0,242,0
17702,0,198,0
17703,0,859,0
17704,0,2230,0
17705,0,1560,0
17706,0,677,0
17707,96,2780,43
17708,0,1406,0
17709,0,148,0
17710,231,680,9
17711,6,515,3
17712,11,1061,0
17713,0,181,0
17714,2,438,0
17715,0,628,0
17800,44,224,11
17801,0,301,0
17802,0,826,0
17803,0,2256,0
17804,34,327,9
17805,0,723,0
17806,0,626,0
17807,91,1076,12
17808,0,271,0
17809,0,1139,0
17810,0,321,0
17811,0,250,0
17812,0,977,0
17813,13,601,7
17814,0,233,0
17815,0,859,0
17900,0,2252,0
17901,0,498,0
17902,0,982,0
17903,27,1629,14
17904,158,1424,87
17905,0,261,0
17906,0,216,0
17907,90,498,43
17908,0,435,0
17909,688,2671,35
17910,0,423,0
17911,0,255,0
17912,36,728,6
17913,95,802,12
17914,229,2928,64
17915,0,283,0
18000,0,130,0
18001,41,830,57
18002,40,782,6
18003,0,2343,6
18004,0,102,0
18005,0,174,0
18006,5,238,0
18007,0,191,0
18008,0,551,0
18009,594,5442,201
18010,62,5508,508
18011,0,554,0
18012,162,1065,57
18013,12,275,4
18014,0,324,0
18015,0,370,0
18100,0,1115,0
18101,0,1352,0
18102,277,1821,75
18103,0,271,0
18104,0,400,1
18105,0,1042,0
18106,0,305,0
18107,0,175,0
18108,31,571,25
18109,0,131,0
18110,0,398,0
18111,426,2117,76
18112,0,349,0
18113,149,2135,23
18114,0,306,9
18115,42,524,6
18200,0,254,0
18201,0,335,0
18202,1,1175,2
18203,1,233,0
18204,0,387,0
18205,0,411,0
18206,0,9309,0
18207,56,303,1
18208,0,1211,0
18209,0,96,0
18210,0,231,0
18211,0,686,0
18212,241,2067,37
18213,0,459,0
18214,0,516,0
18215,0,574,1
18300,6,291,0
18301,0,326,0
18302,10,502,10
18303,0,487,0
18304,0,3608,0
18305,63,2237,11
18306,0,403,0
18307,0,556,0
18308,0,233,0
18309,0,151,0
18310,0,198,0
18311,1,1342,0
18312,0,305,0
18313,0,238,0
18314,0,313,0
18315,0,313,0
18400,213,2682,100
18401,0,822,0
18402,0,195,0
18403,79,1653,58
18404,0,235,0
18405,10,1020,3
18406,0,221,0
18407,0,787,2
18408,0,239,0
18409,104,1852,24
18410,36,1985,13
18411,0,292,0
18412,64,733,9
18413,0,562,0
18414,0,565,3
18415,0,2032,0
18500,0,129,0
18501,0,268,0
18502,216,196,35
18503,0,835,0
18504,1,613,0
18505,0,149,0
18506,1,366,1
18507,241,1982,1
18508,0,749,0
18509,405,1552,78
18510,1,1195,0
18511,21,333,5
18512,0,2914,0
18513,0,873,0
18514,0,446,0
18515,0,1347,0
18600,0,986,0
18601,173,991,28
18602,0,659,0
18603,87,889,0
18604,0,652,0
18605,65,1089,7
18606,4,550,3
18607,0,662,0
18608,0,223,0
18609,0,696,0
18610,32,8058,8
18611,1,1520,0
18612,1,370,0
18613,0,280,0
18614,0,611,0
18615,0,774,0
18700,2,380,4
18701,0,955,0
18702,0,588,0
18703,0,185,0
18704,0,149,0
18705,0,749,1
18706,0,1141,0
18707,0,294,0
18708,26,897,9
18709,0,1438,0
18710,0,149,0
18711,0,389,0
18712,7,1770,16
18713,0,420,0
18714,0,438,0
18715,0,292,0
18800,0,1359,0
18801,150,2681,225
18802,2,420,0
18803,0,76,0
18804,0,605,0
18805,140,590,19
18806,0,814,0
18807,27,1017,5
18808,0,470,0
18809,604,746,2
18810,4,389,2
18811,0,2370,0
18812,157,1119,47
18813,0,275,0
18814,0,559,0
18815,1119,13522,496
18900,0,275,0
18901,84,636,10
18902,6,1083,4
18903,23,107,0
18904,2,281,0
18905,0,439,0
18906,53,1644,99
18907,41625,377070,10927
18908,95,445,15
18909,13,674,4
18910,0,162,0
18911,3,577,5
18912,101,1692,7
18913,0,1626,137
18914,67,643,7
18915,4,899,0
19000,71,347,9
19001,1861,334,5
19002,0,169,0
19003,11,1082,1
19004,0,1074,0
19005,2,361,0
19006,0,631,2
19007,0,390,0
19008,0,483,0
19009,0,396,0
19010,0,2326,0
19011,0,491,0
19012,0,289,0
19013,0,269,0
19014,0,331,0
19015,0,185,0
19100,0,159,0
19101,6,949,7
19102,0,375,0
19103,86,608,2
19104,0,140,0
19105,7,193,0
19106,0,207,0
19107,575,8432,49
19108,0,472,7
19109,0,148,0
19110,16,10353,2022
19111,0,1002,0
19112,0,227,0
19113,334,691,3
19114,0,1409,0
19115,0,1808,0
19200,271,7055,832
19201,0,235,0
19202,0,254,0
19203,0,681,0
19204,0,258,0
19205,1,445,3
19206,0,382,0
19207,0,115,0
19208,9,580,21
19209,0,296,0
19210,0,289,0
19211,0,752,0
19212,0,191,0
19213,0,181,0
19214,0,392,0
19215,0,261,0
19300,22,1159,13
19301,0,274,0
19302,0,1021,0
19303,47,3038,23
19304,103,665,184
19305,0,537,0
19306,0,459,0
19307,0,376,0
19308,13,397,1
19309,0,217,0
19310,7,1113,29
19311,0,2459,0
19312,0,251,0
19313,0,315,0
19314,2,140,0
19315,0,571,0
19400,0,156,0
19401,0,369,0
19402,16,348,0
